pc_timestamp_ns,sender_ip,seq,timestamp_ms,acc_x_g,acc_y_g,acc_z_g
1781002793881880482,192.168.1.188,516424,5231931,0.8775,-0.0663,-0.1989
1781002793890553124,192.168.1.188,516425,5231941,0.8697,0.156,-0.0507
1781002793901658148,192.168.1.188,516426,5231951,1.1895,0.3471,-0.0624
1781002793910599102,192.168.1.188,516427,5231961,1.0998,0.1716,-0.0858
1781002793922206409,192.168.1.188,516428,5231971,1.0179,-0.039,-0.1014
1781002793930604690,192.168.1.188,516429,5231981,0.9243,0.1872,-0.0507
1781002793941605313,192.168.1.188,516430,5231991,1.053,0.195,-0.1131
1781002793950631537,192.168.1.188,516431,5232001,1.1154,0.1794,-0.1443
1781002793960774047,192.168.1.188,516432,5232011,1.0101,0.1287,-0.1053
1781002793970581725,192.168.1.188,516433,5232021,0.9945,0.1365,-0.0663
1781002793986061370,192.168.1.188,516434,5232031,0.9672,0.1443,-0.0897
1781002793990567972,192.168.1.188,516435,5232041,1.014,0.195,-0.0897
1781002794000681182,192.168.1.188,516436,5232051,1.0881,0.1638,-0.0897
1781002794012037577,192.168.1.188,516437,5232061,1.1388,0.117,-0.1365
1781002794020661079,192.168.1.188,516438,5232071,0.9438,-0.0117,-0.0195
1781002794031096320,192.168.1.188,516439,5232081,1.1934,-0.0741,-0.1443
1781002794041894442,192.168.1.188,516440,5232091,0.741,0.0663,-0.1131
1781002794052761696,192.168.1.188,516441,5232101,1.1505,0.234,-0.0858
1781002794060850765,192.168.1.188,516442,5232111,1.2051,0.0507,-0.1365
1781002794070630453,192.168.1.188,516443,5232121,1.0257,0.0117,-0.117
1781002794080617511,192.168.1.188,516444,5232131,1.0686,0.0234,-0.0741
1781002794094741380,192.168.1.188,516445,5232141,1.0452,0.1989,-0.0975
1781002794100562039,192.168.1.188,516446,5232151,1.1115,0.2301,-0.1131
1781002794110631748,192.168.1.188,516447,5232161,1.053,0.1716,-0.1131
1781002794120567716,192.168.1.188,516448,5232171,1.0569,0.1521,-0.0663
1781002794133452129,192.168.1.188,516449,5232181,0.9633,0.1287,-0.0936
1781002794140596634,192.168.1.188,516450,5232191,1.0803,0.0936,-0.1131
1781002794151580448,192.168.1.188,516451,5232201,1.0842,0.2145,-0.0897
1781002794161224095,192.168.1.188,516452,5232211,1.0608,0.0039,-0.117
1781002794170550220,192.168.1.188,516453,5232221,1.4976,-0.3003,-0.0897
1781002794183004711,192.168.1.188,516454,5232231,0.6045,0.0,-0.0975
